S&P 500,SP,BofA AAA US ,BofA,MCSI REIT Index,MCSI
1419.04,,400.470,,"1,531.75",
1413.38,-0.40,402.150,0.42,"1,501.75",-1.96
1398.96,-1.02,402.210,0.01,"1,523.86",1.47
1398.08,-0.06,402.960,0.19,"1,537.79",0.91
#N/A,#N/A,402.020,-0.23,"1,491.91",-2.98
1382.20,#N/A,402.080,0.01,"1,476.35",-1.04
1358.59,-1.71,400.150,-0.48,"1,458.91",-1.18
1368.71,0.74,399.310,-0.21,"1,450.24",-0.59
1387.57,1.38,400.220,0.23,"1,465.61",1.06
1370.26,-1.25,402.470,0.56,"1,459.78",-0.40
1369.57,-0.05,401.730,-0.18,"1,469.13",0.64
1390.78,1.55,400.940,-0.20,"1,463.55",-0.38
1385.14,-0.41,401.220,0.07,"1,446.14",-1.19
1376.92,-0.59,402.760,0.38,"1,431.61",-1.00
1378.53,0.12,401.900,-0.21,"1,421.27",-0.72
1366.94,-0.84,403.200,0.32,"1,434.93",0.96
1371.97,0.37,402.840,-0.09,"1,449.05",0.98
1390.69,1.36,403.950,0.28,"1,445.92",-0.22
1399.98,0.67,403.920,-0.01,"1,425.85",-1.39
1403.36,0.24,404.400,0.12,"1,429.24",0.24
1397.91,-0.39,405.100,0.17,"1,457.86",2.00
1405.82,0.57,407.430,0.58,"1,447.93",-0.68
1402.31,-0.25,406.490,-0.23,"1,435.48",-0.86
1391.57,-0.77,406.270,-0.05,"1,407.97",-1.92
1369.10,-1.61,406.990,0.18,"1,417.87",0.70
1369.58,0.04,407.230,0.06,"1,441.72",1.68
1363.72,-0.43,407.180,-0.01,"1,404.48",-2.58
1354.58,-0.67,407.910,0.18,"1,384.27",-1.44
1357.99,0.25,407.330,-0.14,"1,404.10",1.43
1353.39,-0.34,407.050,-0.07,"1,411.50",0.53
1338.35,-1.11,404.790,-0.56,"1,420.27",0.62
1330.66,-0.57,406.140,0.33,"1,430.59",0.73
1324.80,-0.44,406.540,0.10,"1,421.73",-0.62
1304.86,-1.51,406.780,0.06,"1,410.27",-0.81
1295.22,-0.74,407.620,0.21,"1,424.13",0.98
1315.99,1.60,408.200,0.14,"1,432.73",0.60
1316.63,0.05,410.210,0.49,"1,467.99",2.46
1318.86,0.17,408.720,-0.36,"1,433.15",-2.37
1320.68,0.14,409.810,0.27,"1,441.99",0.62
1317.82,-0.22,410.830,0.25,"1,445.78",0.26
#N/A,#N/A,409.940,-0.22,"1,460.95",1.05
1332.42,#N/A,409.940,0.00,"1,478.81",1.22
1313.32,-1.43,409.460,-0.12,"1,458.17",-1.40
1310.33,-0.23,410.440,0.24,"1,466.44",0.57
1278.04,-2.46,412.020,0.38,"1,449.57",-1.15
1278.18,0.01,411.440,-0.14,"1,408.22",-2.85
1285.50,0.57,412.320,0.21,"1,429.77",1.53
1315.13,2.30,411.810,-0.12,"1,447.99",1.27
1314.99,-0.01,411.940,0.03,"1,451.19",0.22
1325.66,0.81,411.730,-0.05,"1,454.40",0.22
1308.93,-1.26,413.750,0.49,"1,457.84",0.24
1324.18,1.17,412.310,-0.35,"1,477.74",1.37
1314.88,-0.70,415.040,0.66,"1,499.31",1.46
1329.10,1.08,415.840,0.19,"1,513.51",0.95
1342.84,1.03,414.900,-0.23,"1,524.37",0.72
1344.78,0.14,414.000,-0.22,"1,523.38",-0.06
1357.98,0.98,412.450,-0.37,"1,520.76",-0.17
1355.69,-0.17,412.940,0.12,"1,518.80",-0.13
1325.51,-2.23,413.010,0.02,"1,525.35",0.43
1335.02,0.72,413.190,0.04,"1,538.59",0.87
1313.72,-1.60,412.280,-0.22,"1,537.74",-0.06
1319.99,0.48,409.810,-0.60,"1,571.49",2.19
1331.85,0.90,411.260,0.35,"1,567.66",-0.24
1329.04,-0.21,411.580,0.08,"1,577.23",0.61
1362.16,2.49,412.120,0.13,"1,575.43",-0.11
1365.51,0.25,412.140,0.00,"1,572.03",-0.22
1374.02,0.62,413.310,0.28,"1,560.56",-0.73
#N/A,#N/A,413.390,0.02,"1,555.57",-0.32
1367.58,#N/A,413.510,0.03,"1,530.97",-1.58
1354.68,-0.94,414.000,0.12,"1,533.79",0.18
1352.46,-0.16,414.630,0.15,"1,519.96",-0.90
1341.47,-0.81,414.620,0.00,"1,499.15",-1.37
1341.45,0.00,415.220,0.14,"1,512.03",0.86
1334.76,-0.50,412.980,-0.54,"1,514.20",0.14
1356.78,1.65,413.160,0.04,"1,517.82",0.24
1353.64,-0.23,412.960,-0.05,"1,495.95",-1.44
1363.67,0.74,413.230,0.07,"1,516.58",1.38
1372.78,0.67,413.030,-0.05,"1,503.73",-0.85
1376.51,0.27,412.530,-0.12,"1,502.80",-0.06
1362.66,-1.01,412.960,0.10,"1,525.48",1.51
1350.52,-0.89,413.440,0.12,"1,512.23",-0.87
1338.31,-0.90,415.680,0.54,"1,495.14",-1.13
1337.89,-0.03,416.590,0.22,"1,467.82",-1.83
1360.02,1.65,418.640,0.49,"1,474.57",0.46
1385.97,1.91,418.770,0.03,"1,433.70",-2.77
1385.30,-0.05,418.810,0.01,"1,457.38",1.65
1379.32,-0.43,420.540,0.41,"1,487.32",2.05
1375.14,-0.30,420.070,-0.11,"1,473.01",-0.96
1365.00,-0.74,419.480,-0.14,"1,519.99",3.19
1390.99,1.90,419.710,0.05,"1,502.10",-1.18
1394.23,0.23,419.550,-0.04,"1,491.76",-0.69
1401.35,0.51,417.560,-0.47,"1,497.34",0.37
1402.22,0.06,419.970,0.58,"1,509.92",0.84
1402.80,0.04,421.530,0.37,"1,507.57",-0.16
1405.87,0.22,421.130,-0.09,"1,500.18",-0.49
1404.11,-0.13,420.570,-0.13,"1,511.66",0.77
1403.93,-0.01,421.160,0.14,"1,494.08",-1.16
1405.53,0.11,422.220,0.25,"1,495.60",0.10
1415.51,0.71,423.220,0.24,"1,491.26",-0.29
1418.16,0.19,423.400,0.04,"1,493.60",0.16
1418.13,0.00,422.120,-0.30,"1,490.79",-0.19
1413.17,-0.35,422.040,-0.02,"1,494.48",0.25
1413.49,0.02,424.600,0.61,"1,482.72",-0.79
1402.08,-0.81,424.580,0.00,"1,501.64",1.28
1411.13,0.65,426.470,0.45,"1,490.21",-0.76
1410.44,-0.05,427.090,0.15,"1,479.24",-0.74
1409.30,-0.08,427.830,0.17,"1,470.30",-0.60
1410.49,0.08,427.890,0.01,"1,486.67",1.11
1399.48,-0.78,427.850,-0.01,"1,464.44",-1.50
1406.58,0.51,431.700,0.90,"1,474.97",0.72
#N/A,#N/A,429.570,-0.49,"1,470.86",-0.28
1404.94,#N/A,427.440,-0.50,"1,466.74",-0.28
1403.44,-0.11,428.520,0.25,"1,463.41",-0.23
1432.12,2.04,428.140,-0.09,"1,464.42",0.07
1437.92,0.40,430.210,0.48,"1,440.83",-1.61
1429.08,-0.61,429.980,-0.05,"1,445.69",0.34
1433.56,0.31,429.520,-0.11,"1,439.34",-0.44
1436.56,0.21,427.330,-0.51,"1,438.62",-0.05
1459.99,1.63,424.610,-0.64,"1,421.20",-1.21
1465.77,0.40,424.120,-0.12,"1,408.07",-0.92
1461.19,-0.31,427.720,0.85,"1,388.74",-1.37
1459.32,-0.13,426.050,-0.39,"1,384.75",-0.29
1461.05,0.12,424.110,-0.46,"1,396.23",0.83
1460.26,-0.05,422.630,-0.35,"1,391.62",-0.33
1460.15,-0.01,423.730,0.26,"1,376.15",-1.11
1456.89,-0.22,425.540,0.43,"1,388.74",0.91
1441.59,-1.05,426.650,0.26,"1,386.52",-0.16
1433.32,-0.57,427.640,0.23,"1,365.99",-1.48
1447.15,0.96,424.520,-0.73,"1,389.59",1.73
1440.67,-0.45,423.700,-0.19,"1,380.89",-0.63
1444.49,0.27,#N/A,#N/A,"1,385.06",0.30
1445.75,0.09,422.180,#N/A,"1,402.90",1.29
1450.99,0.36,424.010,0.43,"1,418.50",1.11
1461.40,0.72,426.300,0.54,"1,420.14",0.12
1460.93,-0.03,427.840,0.36,"1,406.86",-0.94
1455.88,-0.35,#N/A,#N/A,"1,407.45",0.04
1441.48,-0.99,431.180,#N/A,"1,413.05",0.40
1432.56,-0.62,431.210,0.01,"1,428.76",1.11
1432.84,0.02,432.110,0.21,"1,427.64",-0.08
1428.59,-0.30,432.770,0.15,"1,423.29",-0.30
1440.13,0.81,430.520,-0.52,"1,429.90",0.46
1454.92,1.03,431.350,0.19,"1,419.59",-0.72
1460.91,0.41,429.000,-0.54,"1,439.63",1.41
1457.34,-0.24,430.700,0.40,"1,472.05",2.25
1433.19,-1.66,431.440,0.17,"1,464.17",-0.54
1433.82,0.04,433.230,0.41,"1,481.37",1.17
1413.11,-1.44,432.650,-0.13,"1,482.31",0.06
1408.75,-0.31,433.770,0.26,"1,474.14",-0.55
1412.97,0.30,433.370,-0.09,"1,452.70",-1.45
1411.94,-0.07,433.560,0.04,"1,444.31",-0.58
#N/A,#N/A,436.030,0.57,"1,431.56",-0.88
#N/A,#N/A,437.980,0.45,"1,416.72",-1.04
1412.16,#N/A,433.550,-1.01,"1,415.60",-0.08
1427.59,1.09,435.130,0.36,"1,414.97",-0.04
1414.20,-0.94,435.270,0.03,"1,419.13",0.29
1417.26,0.22,433.740,-0.35,"1,422.62",0.25
1428.39,0.79,432.160,-0.36,"1,415.61",-0.49
1394.53,-2.37,434.570,0.56,"1,411.75",-0.27
1377.51,-1.22,436.250,0.39,"1,423.84",0.86
1379.85,0.17,435.220,-0.24,"1,427.33",0.25
1380.03,0.01,437.200,0.45,"1,427.98",0.05
1374.53,-0.40,436.680,-0.12,"1,419.70",-0.58
1355.49,-1.39,433.980,-0.62,"1,418.33",-0.10
1353.33,-0.16,435.470,0.34,"1,409.87",-0.60
1359.88,0.48,436.350,0.20,"1,424.55",1.04
1386.89,1.99,434.630,-0.39,"1,432.10",0.53
1387.81,0.07,434.680,0.01,"1,435.35",0.23
1391.03,0.23,432.020,-0.61,"1,414.23",-1.47
#N/A,#N/A,432.720,0.16,"1,423.52",0.66
1409.15,#N/A,432.900,0.04,"1,421.96",-0.11
1406.29,-0.20,430.580,-0.54,"1,427.39",0.38
1398.94,-0.52,429.840,-0.17,"1,423.90",-0.24
1409.93,0.79,432.880,0.71,"1,425.81",0.13
1415.95,0.43,432.560,-0.07,"1,431.40",0.39
1416.18,0.02,429.940,-0.61,"1,424.04",-0.51
1409.46,-0.47,431.020,0.25,"1,424.24",0.01
1407.05,-0.17,431.320,0.07,"1,412.72",-0.81
1409.28,0.16,433.920,0.60,"1,424.25",0.82
1413.94,0.33,437.410,0.80,"1,423.65",-0.04
1418.07,0.29,437.150,-0.06,"1,387.10",-2.57
1418.55,0.03,435.350,-0.41,"1,417.02",2.16
1427.84,0.65,432.530,-0.65,"1,416.64",-0.03
1428.48,0.04,432.490,-0.01,"1,413.56",-0.22
1419.45,-0.63,433.950,0.34,"1,401.43",-0.86
1413.58,-0.41,434.840,0.21,"1,422.86",1.53
1430.36,1.19,431.080,-0.86,"1,408.38",-1.02
1446.79,1.15,434.360,0.76,"1,382.48",-1.84
1435.81,-0.76,433.240,-0.26,"1,386.14",0.26
1443.69,0.55,435.590,0.54,"1,384.81",-0.10
1430.15,-0.94,437.380,0.41,"1,374.12",-0.77
1426.66,-0.24,435.650,-0.40,"1,368.65",-0.40
#N/A,#N/A,438.250,0.60,"1,363.12",-0.40
1419.83,#N/A,438.910,0.15,"1,370.93",0.57
1418.10,-0.12,#N/A,#N/A,"1,376.53",0.41
1402.43,-1.10,434.510,#N/A,"1,386.44",0.72
1426.19,1.69,434.730,0.05,"1,375.73",-0.77
#N/A,#N/A,435.360,0.14,"1,381.34",0.41
1462.42,#N/A,434.650,-0.16,"1,382.79",0.10
1459.37,-0.21,435.660,0.23,"1,390.80",0.58
1466.47,0.49,436.910,0.29,"1,360.91",-2.15
1461.89,-0.31,434.100,-0.64,"1,385.05",1.77
1457.15,-0.32,433.260,-0.19,"1,387.93",0.21
1461.02,0.27,433.770,0.12,"1,398.47",0.76
1472.12,0.76,436.850,0.71,"1,417.26",1.34
1472.05,0.00,435.650,-0.27,"1,412.80",-0.31
1470.68,-0.09,435.950,0.07,"1,417.46",0.33
1472.34,0.11,438.440,0.57,"1,406.20",-0.79
1472.63,0.02,436.390,-0.47,"1,403.42",-0.20
1480.94,0.56,437.010,0.14,"1,390.10",-0.95
1485.98,0.34,436.630,-0.09,"1,371.66",-1.33
#N/A,#N/A,435.150,-0.34,"1,372.39",0.05
1492.56,#N/A,431.760,-0.78,"1,376.45",0.30
1494.81,0.15,430.720,-0.24,"1,359.33",-1.24
1494.82,0.00,431.290,0.13,"1,333.59",-1.89
1502.96,0.54,432.470,0.27,"1,323.07",-0.79
1500.18,-0.18,432.150,-0.07,"1,328.75",0.43
1507.84,0.51,431.920,-0.05,"1,323.80",-0.37
1501.96,-0.39,429.650,-0.53,"1,323.51",-0.02
1498.11,-0.26,428.840,-0.19,"1,307.78",-1.19
1513.17,1.01,430.060,0.28,"1,309.03",0.10
1495.71,-1.15,430.890,0.19,"1,295.65",-1.02
1511.29,1.04,432.650,0.41,"1,300.72",0.39
1512.12,0.05,432.800,0.03,"1,299.01",-0.13
1509.39,-0.18,431.370,-0.33,"1,298.73",-0.02
1517.93,0.57,431.390,0.00,"1,283.69",-1.16
1517.01,-0.06,430.520,-0.20,"1,265.66",-1.40
1519.43,0.16,431.230,0.16,"1,297.64",2.53
1520.33,0.06,432.830,0.37,"1,315.11",1.35
1521.38,0.07,433.530,0.16,"1,316.36",0.10
1519.79,-0.10,433.720,0.04,"1,300.65",-1.19
#N/A,#N/A,430.400,-0.77,"1,287.59",-1.00
1530.94,#N/A,429.540,-0.20,"1,312.74",1.95
1511.95,-1.24,431.660,0.49,"1,318.69",0.45
1502.42,-0.63,432.100,0.10,"1,323.20",0.34
1515.60,0.88,432.610,0.12,"1,318.11",-0.38
1487.85,-1.83,433.770,0.27,"1,306.72",-0.86
1496.94,0.61,432.680,-0.25,"1,310.78",0.31
1515.99,1.27,429.540,-0.73,"1,310.05",-0.06
1514.68,-0.09,431.570,0.47,"1,305.18",-0.37
1518.20,0.23,431.760,0.04,"1,300.68",-0.34
1525.20,0.46,429.460,-0.53,"1,308.87",0.63
1539.79,0.96,427.650,-0.42,"1,299.11",-0.75
1541.46,0.11,426.370,-0.30,"1,287.04",-0.93
1544.26,0.18,427.360,0.23,"1,282.45",-0.36
1551.18,0.45,427.360,0.00,"1,280.53",-0.15
1556.22,0.32,429.270,0.45,"1,258.72",-1.70
1552.48,-0.24,431.140,0.44,"1,269.43",0.85
1554.52,0.13,429.940,-0.28,"1,259.79",-0.76
1563.23,0.56,428.600,-0.31,"1,254.09",-0.45
1560.70,-0.16,430.790,0.51,"1,255.06",0.08
1552.10,-0.55,429.030,-0.41,"1,259.77",0.38
1548.34,-0.24,426.280,-0.64,"1,258.19",-0.13
1558.71,0.67,426.870,0.14,"1,252.31",-0.47
1545.80,-0.83,424.070,-0.66,"1,251.50",-0.06
1556.89,0.72,423.100,-0.23,"1,226.25",-2.02
1551.69,-0.33,423.740,0.15,"1,238.90",1.03
1563.77,0.78,424.450,0.17,"1,237.44",-0.12
1562.85,-0.06,426.470,0.48,"1,245.87",0.68
1569.19,0.41,425.300,-0.27,"1,224.97",-1.68
#N/A,#N/A,426.480,0.28,"1,213.29",-0.95
1562.17,#N/A,425.460,-0.24,"1,217.89",0.38
1570.25,0.52,427.000,0.36,"1,219.84",0.16
1553.69,-1.05,426.940,-0.01,"1,212.97",-0.56
1559.98,0.40,427.530,0.14,"1,233.75",1.71
1553.28,-0.43,428.260,0.17,"1,245.31",0.94
1563.07,0.63,428.260,0.00,"1,245.03",-0.02
1568.61,0.35,427.480,-0.18,"1,254.75",0.78
1587.73,1.22,428.560,0.25,"1,238.11",-1.33
1593.37,0.36,428.370,-0.04,"1,215.72",-1.81
1588.85,-0.28,428.430,0.01,"1,209.02",-0.55
1552.36,-2.30,430.060,0.38,"1,197.45",-0.96
1574.57,1.43,430.700,0.15,"1,193.40",-0.34
1552.01,-1.43,431.780,0.25,"1,179.18",-1.19
1541.61,-0.67,431.500,-0.06,"1,164.17",-1.27
1555.25,0.88,428.220,-0.76,"1,176.18",1.03
1562.50,0.47,430.130,0.45,"1,178.36",0.19
1578.78,1.04,430.520,0.09,"1,186.59",0.70
1578.79,0.00,428.460,-0.48,"1,180.60",-0.50
1585.16,0.40,426.190,-0.53,"1,197.52",1.43
1582.24,-0.18,425.370,-0.19,"1,221.16",1.97
1593.61,0.72,425.740,0.09,"1,210.85",-0.84
1597.57,0.25,425.210,-0.12,"1,197.27",-1.12
1582.70,-0.93,424.380,-0.20,"1,185.69",-0.97
1597.59,0.94,427.820,0.81,"1,180.77",-0.41
1614.42,1.05,425.910,-0.45,"1,187.87",0.60
1617.50,0.19,428.180,0.53,"1,189.73",0.16
1625.96,0.52,427.830,-0.08,"1,198.79",0.76
1632.69,0.41,427.740,-0.02,"1,200.21",0.12
1626.67,-0.37,429.180,0.34,"1,196.59",-0.30
1633.70,0.43,430.110,0.22,"1,187.11",-0.79
1633.77,0.00,429.770,-0.08,"1,181.40",-0.48
1650.34,1.01,429.200,-0.13,"1,175.10",-0.53
1658.78,0.51,428.370,-0.19,"1,170.05",-0.43
1650.47,-0.50,431.590,0.75,"1,162.88",-0.61
1667.47,1.03,431.320,-0.06,"1,163.71",0.07
1666.29,-0.07,430.120,-0.28,"1,159.23",-0.38
1669.16,0.17,432.130,0.47,"1,137.01",-1.92
1655.35,-0.83,430.950,-0.27,"1,150.51",1.19
1650.51,-0.29,432.100,0.27,"1,142.76",-0.67
1649.60,-0.06,433.110,0.23,"1,161.98",1.68
#N/A,#N/A,433.890,0.18,"1,152.26",-0.84
1660.06,#N/A,432.810,-0.25,"1,146.39",-0.51
1648.36,-0.70,433.530,0.17,"1,143.47",-0.25
1654.41,0.37,432.310,-0.28,"1,150.77",0.64
1630.74,-1.43,431.530,-0.18,"1,127.94",-1.98
1640.42,0.59,433.760,0.52,"1,133.92",0.53
1631.38,-0.55,433.660,-0.02,"1,133.92",0.00
1608.90,-1.38,434.150,0.11,"1,121.38",-1.11
1622.56,0.85,433.640,-0.12,"1,113.96",-0.66
1643.38,1.28,433.300,-0.08,"1,096.48",-1.57
1642.81,-0.03,433.370,0.02,"1,092.39",-0.37
1626.13,-1.02,433.430,0.01,"1,107.05",1.34
1612.52,-0.84,435.100,0.39,"1,097.97",-0.82
1636.36,1.48,436.030,0.21,"1,103.06",0.46
1626.73,-0.59,436.720,0.16,"1,095.38",-0.70
1639.04,0.76,436.350,-0.08,"1,095.28",-0.01
1651.81,0.78,436.660,0.07,"1,136.61",3.77
1628.93,-1.39,438.530,0.43,"1,126.69",-0.87
1588.19,-2.50,437.490,-0.24,"1,122.39",-0.38
1592.43,0.27,437.170,-0.07,"1,132.95",0.94
1573.09,-1.21,433.830,-0.76,"1,124.61",-0.74
1588.03,0.95,432.970,-0.20,"1,114.68",-0.88
1603.26,0.96,422.850,-2.34,"1,124.00",0.84
1613.20,0.62,420.610,-0.53,"1,114.11",-0.88
1606.28,-0.43,413.160,-1.77,"1,120.70",0.59
1614.96,0.54,412.040,-0.27,"1,147.21",2.37
1614.08,-0.05,415.630,0.87,"1,136.87",-0.90
1615.41,0.08,414.050,-0.38,"1,137.78",0.08
#N/A,#N/A,416.220,0.52,"1,110.93",-2.36
1631.89,#N/A,410.240,-1.44,"1,117.14",0.56
1640.46,0.53,406.560,-0.90,"1,117.92",0.07
