good_date,net balance,SP,BofA,MCSI
2007-09-29,,,,
2007-09-30,0,-0.4,0.42,-1.96
2007-10-03,0,-1.02,0.01,1.47
2007-10-04,0,-0.06,0.19,0.91
2007-10-05,0,#N/A,-0.23,-2.98
2007-10-06,0,#N/A,0.01,-1.04
2007-10-07,0,-1.71,-0.48,-1.18
2007-10-08,0,0.74,-0.21,-0.59
2007-10-09,0,1.38,0.23,1.06
2007-10-10,0,-1.25,0.56,-0.4
2007-10-11,0,-0.05,-0.18,0.64
2007-10-12,0,1.55,-0.2,-0.38
2007-10-13,0,-0.41,0.07,-1.19
2007-10-14,0,-0.59,0.38,-1
2007-10-15,0,0.12,-0.21,-0.72
2007-10-16,0,-0.84,0.32,0.96
2007-10-17,0,0.37,-0.09,0.98
2007-10-18,0,1.36,0.28,-0.22
2007-10-19,0,0.67,-0.01,-1.39
2007-10-20,0,0.24,0.12,0.24
2007-10-21,0,-0.39,0.17,2
2007-10-22,-50,0.57,0.58,-0.68
2007-10-23,0,-0.25,-0.23,-0.86
2007-10-24,33.57,-0.77,-0.05,-1.92
2007-10-25,-18.64,-1.61,0.18,0.7
2007-10-26,72.09,0.04,0.06,1.68
2007-10-27,-22.78,-0.43,-0.01,-2.58
2007-10-28,-158.72,-0.67,0.18,-1.44
2007-10-29,-117.93,0.25,-0.14,1.43
2007-10-30,64.86,-0.34,-0.07,0.53
2007-10-31,406,-1.11,-0.56,0.62
2007-11-01,172.42,-0.57,0.33,0.73
2007-11-02,14.31,-0.44,0.1,-0.62
2007-11-03,36.04,-1.51,0.06,-0.81
2007-11-04,19.32,-0.74,0.21,0.98
2007-11-05,-9.96,1.6,0.14,0.6
2007-11-06,-12.92,0.05,0.49,2.46
2007-11-07,9.68,0.17,-0.36,-2.37
2007-11-08,25.22,0.14,0.27,0.62
2007-11-09,-0.73,-0.22,0.25,0.26
2007-11-10,9.35,#N/A,-0.22,1.05
2007-11-11,-10.16,#N/A,0,1.22
2007-11-12,2.95,-1.43,-0.12,-1.4
2007-11-13,-12.59,-0.23,0.24,0.57
2007-11-14,6.33,-2.46,0.38,-1.15
2007-11-15,-6.6,0.01,-0.14,-2.85
2007-11-16,-27.63,0.57,0.21,1.53
2007-11-17,19.23,2.3,-0.12,1.27
2007-11-18,48.78,-0.01,0.03,0.22
2007-11-19,-8.26,0.81,-0.05,0.22
2007-11-20,14.06,-1.26,0.49,0.24
2007-11-21,12.76,1.17,-0.35,1.37
2007-11-22,18.41,-0.7,0.66,1.46
2007-11-23,-2.96,1.08,0.19,0.95
2007-11-24,29.1,1.03,-0.23,0.72
2007-11-25,22.2,0.14,-0.22,-0.06
2007-11-26,-1.93,0.98,-0.37,-0.17
2007-11-27,-3.94,-0.17,0.12,-0.13
2007-11-28,0,-2.23,0.02,0.43
2007-11-29,2.84,0.72,0.04,0.87
2007-11-30,-1.25,-1.6,-0.22,-0.06
2007-12-01,-0.02,0.48,-0.6,2.19
2007-12-02,-7.5,0.9,0.35,-0.24
2007-12-03,1.7,-0.21,0.08,0.61
2007-12-04,-6.85,2.49,0.13,-0.11
2007-12-05,-0.85,0.25,0,-0.22
2007-12-06,-11.94,0.62,0.28,-0.73
2007-12-07,-8.43,#N/A,0.02,-0.32
2007-12-08,-0.61,#N/A,0.03,-1.58
2007-12-09,1.81,-0.94,0.12,0.18
2007-12-10,1.46,-0.16,0.15,-0.9
2007-12-11,16.81,-0.81,0,-1.37
