net balance,S&P 500,SP,BofA AAA US ,BofA,MCSI REIT Index,MCSI
,1419.04,,400.470,,"1,531.75",
-50,1413.38,-0.40,402.150,0.42,"1,501.75",-1.96
83.57142857,1398.96,-1.02,402.210,0.01,"1,523.86",1.47
-27.23735409,1398.08,-0.06,402.960,0.19,"1,537.79",0.91
-74.86631016,#N/A,#N/A,402.020,-0.23,"1,491.91",-2.98
223.6895737,1382.20,#N/A,402.080,0.01,"1,476.35",-1.04
-46.01203818,1358.59,-1.71,400.150,-0.48,"1,458.91",-1.18
113.4903605,1368.71,0.74,399.310,-0.21,"1,450.24",-0.59
49.30609805,1387.57,1.38,400.220,0.23,"1,465.61",1.06
84.17320904,1370.26,-1.25,402.470,0.56,"1,459.78",-0.40
-29.03502895,1369.57,-0.05,401.730,-0.18,"1,469.13",0.64
-40.91459282,1390.78,1.55,400.940,-0.20,"1,463.55",-0.38
-34.62326383,1385.14,-0.41,401.220,0.07,"1,446.14",-1.19
-105.9192179,1376.92,-0.59,402.760,0.38,"1,431.61",-1.00
894.7061844,1378.53,0.12,401.900,-0.21,"1,421.27",-0.72
179.8935602,1366.94,-0.84,403.200,0.32,"1,434.93",0.96
-23.28700457,1371.97,0.37,402.840,-0.09,"1,449.05",0.98
41.89129382,1390.69,1.36,403.950,0.28,"1,445.92",-0.22
-43.60395687,1399.98,0.67,403.920,-0.01,"1,425.85",-1.39
52.35032606,1403.36,0.24,404.400,0.12,"1,429.24",0.24
34.36180769,1397.91,-0.39,405.100,0.17,"1,457.86",2.00
-56.62833896,1405.82,0.57,407.430,0.58,"1,447.93",-0.68
117.9299476,1402.31,-0.25,406.490,-0.23,"1,435.48",-0.86
-18.31974056,1391.57,-0.77,406.270,-0.05,"1,407.97",-1.92
-56.98136245,1369.10,-1.61,406.990,0.18,"1,417.87",0.70
-264.9147705,1369.58,0.04,407.230,0.06,"1,441.72",1.68
-65.3690113,1363.72,-0.43,407.180,-0.01,"1,404.48",-2.58
490.1785185,1354.58,-0.67,407.910,0.18,"1,384.27",-1.44
18.59306063,1357.99,0.25,407.330,-0.14,"1,404.10",1.43
-19.26354957,1353.39,-0.34,407.050,-0.07,"1,411.50",0.53
-23.85979253,1338.35,-1.11,404.790,-0.56,"1,420.27",0.62
24.52976352,1330.66,-0.57,406.140,0.33,"1,430.59",0.73
21.20042819,1324.80,-0.44,406.540,0.10,"1,421.73",-0.62
49.28787521,1304.86,-1.51,406.780,0.06,"1,410.27",-0.81
50.56220877,1295.22,-0.74,407.620,0.21,"1,424.13",0.98
14.95754799,1315.99,1.60,408.200,0.14,"1,432.73",0.60
-16.07042192,1316.63,0.05,410.210,0.49,"1,467.99",2.46
5.404821329,1318.86,0.17,408.720,-0.36,"1,433.15",-2.37
-9.082842161,1320.68,0.14,409.810,0.27,"1,441.99",0.62
17.98243179,1317.82,-0.22,410.830,0.25,"1,445.78",0.26
4.786733025,#N/A,#N/A,409.940,-0.22,"1,460.95",1.05
-8.080761197,1332.42,#N/A,409.940,0.00,"1,478.81",1.22
18.61655993,1313.32,-1.43,409.460,-0.12,"1,458.17",-1.40
24.77526715,1310.33,-0.23,410.440,0.24,"1,466.44",0.57
5.787441479,1278.04,-2.46,412.020,0.38,"1,449.57",-1.15
-11.22969349,1278.18,0.01,411.440,-0.14,"1,408.22",-2.85
-6.325140651,1285.50,0.57,412.320,0.21,"1,429.77",1.53
4.892919281,1315.13,2.30,411.810,-0.12,"1,447.99",1.27
9.195182329,1314.99,-0.01,411.940,0.03,"1,451.19",0.22
20.28150717,1325.66,0.81,411.730,-0.05,"1,454.40",0.22
8.258359998,1308.93,-1.26,413.750,0.49,"1,457.84",0.24
-9.054556395,1324.18,1.17,412.310,-0.35,"1,477.74",1.37
-9.95603082,1314.88,-0.70,415.040,0.66,"1,499.31",1.46
-5.52842734,1329.10,1.08,415.840,0.19,"1,513.51",0.95
-11.70389607,1342.84,1.03,414.900,-0.23,"1,524.37",0.72
-6.62764015,1344.78,0.14,414.000,-0.22,"1,523.38",-0.06
-7.09807502,1357.98,0.98,412.450,-0.37,"1,520.76",-0.17
