net balance,SP,BofA,MCSI
,,,
0.00,-0.40,0.42,-1.96
0.00,-1.02,0.01,1.47
0.00,-0.06,0.19,0.91
0.00,#N/A,-0.23,-2.98
0.00,#N/A,0.01,-1.04
0.00,-1.71,-0.48,-1.18
0.00,0.74,-0.21,-0.59
0.00,1.38,0.23,1.06
0.00,-1.25,0.56,-0.40
0.00,-0.05,-0.18,0.64
0.00,1.55,-0.20,-0.38
0.00,-0.41,0.07,-1.19
0.00,-0.59,0.38,-1.00
0.00,0.12,-0.21,-0.72
0.00,-0.84,0.32,0.96
0.00,0.37,-0.09,0.98
0.00,1.36,0.28,-0.22
0.00,0.67,-0.01,-1.39
0.00,0.24,0.12,0.24
0.00,-0.39,0.17,2.00
-50.00,0.57,0.58,-0.68
0.00,-0.25,-0.23,-0.86
33.57,-0.77,-0.05,-1.92
-18.64,-1.61,0.18,0.70
72.09,0.04,0.06,1.68
-22.78,-0.43,-0.01,-2.58
-158.72,-0.67,0.18,-1.44
-117.93,0.25,-0.14,1.43
64.86,-0.34,-0.07,0.53
406.00,-1.11,-0.56,0.62
172.42,-0.57,0.33,0.73
14.31,-0.44,0.10,-0.62
36.04,-1.51,0.06,-0.81
19.32,-0.74,0.21,0.98
-9.96,1.60,0.14,0.60
-12.92,0.05,0.49,2.46
9.68,0.17,-0.36,-2.37
25.22,0.14,0.27,0.62
-0.73,-0.22,0.25,0.26
9.35,#N/A,-0.22,1.05
-10.16,#N/A,0.00,1.22
2.95,-1.43,-0.12,-1.40
-12.59,-0.23,0.24,0.57
6.33,-2.46,0.38,-1.15
-6.60,0.01,-0.14,-2.85
-27.63,0.57,0.21,1.53
19.23,2.30,-0.12,1.27
48.78,-0.01,0.03,0.22
-8.26,0.81,-0.05,0.22
14.06,-1.26,0.49,0.24
12.76,1.17,-0.35,1.37
18.41,-0.70,0.66,1.46
-2.96,1.08,0.19,0.95
29.10,1.03,-0.23,0.72
22.20,0.14,-0.22,-0.06
-1.93,0.98,-0.37,-0.17
-3.94,-0.17,0.12,-0.13
0.00,-2.23,0.02,0.43
2.84,0.72,0.04,0.87
-1.25,-1.60,-0.22,-0.06
-0.02,0.48,-0.60,2.19
-7.50,0.90,0.35,-0.24
1.70,-0.21,0.08,0.61
-6.85,2.49,0.13,-0.11
-0.85,0.25,0.00,-0.22
-11.94,0.62,0.28,-0.73
-8.43,#N/A,0.02,-0.32
-0.61,#N/A,0.03,-1.58
1.81,-0.94,0.12,0.18
1.46,-0.16,0.15,-0.90
16.81,-0.81,0.00,-1.37
4.38,0.00,0.14,0.86
-6.81,-0.50,-0.54,0.14
12.17,1.65,0.04,0.24
3.52,-0.23,-0.05,-1.44
-18.31,0.74,0.07,1.38
-6.70,0.67,-0.05,-0.85
-2.79,0.27,-0.12,-0.06
-7.75,-1.01,0.10,1.51
-12.03,-0.89,0.12,-0.87
13.58,-0.90,0.54,-1.13
10.07,-0.03,0.22,-1.83
-0.73,1.65,0.49,0.46
8.39,1.91,0.03,-2.77
-6.39,-0.05,0.01,1.65
-4.03,-0.43,0.41,2.05
1.79,-0.30,-0.11,-0.96
14.62,-0.74,-0.14,3.19
11.91,1.90,0.05,-1.18
9.80,0.23,-0.04,-0.69
3.23,0.51,-0.47,0.37
-0.09,0.06,0.58,0.84
-3.18,0.04,0.37,-0.16
5.07,0.22,-0.09,-0.49
-6.88,-0.13,-0.13,0.77
-2.09,-0.01,0.14,-1.16
-0.34,0.11,0.25,0.10
-8.33,0.71,0.24,-0.29
-1.67,0.19,0.04,0.16
-6.69,0.00,-0.30,-0.19
10.92,-0.35,-0.02,0.25
2.26,0.02,0.61,-0.79
2.15,-0.81,0.00,1.28
0.00,0.65,0.45,-0.76
0.46,-0.05,0.15,-0.74
14.83,-0.08,0.17,-0.60
8.88,0.08,0.01,1.11
6.70,-0.78,-0.01,-1.50
-4.56,0.51,0.90,0.72
-4.84,#N/A,-0.49,-0.28
2.31,#N/A,-0.50,-0.28
4.91,-0.11,0.25,-0.23
3.46,2.04,-0.09,0.07
-0.70,0.40,0.48,-1.61
-1.59,-0.61,-0.05,0.34
-0.46,0.31,-0.11,-0.44
6.95,0.21,-0.51,-0.05
0.73,1.63,-0.64,-1.21
-6.23,0.40,-0.12,-0.92
0.00,-0.31,0.85,-1.37
2.04,-0.13,-0.39,-0.29
-4.32,0.12,-0.46,0.83
1.64,-0.05,-0.35,-0.33
15.65,-0.01,0.26,-1.11
0.55,-0.22,0.43,0.91
-1.43,-1.05,0.26,-0.16
-0.97,-0.57,0.23,-1.48
0.00,0.96,-0.73,1.73
9.71,-0.45,-0.19,-0.63
0.63,0.27,#N/A,0.30
9.43,0.09,#N/A,1.29
-1.91,0.36,0.43,1.11
5.30,0.72,0.54,0.12
-11.77,-0.03,0.36,-0.94
1.04,-0.35,#N/A,0.04
8.21,-0.99,#N/A,0.40
-2.14,-0.62,0.01,1.11
4.29,0.02,0.21,-0.08
-4.78,-0.30,0.15,-0.30
-2.92,0.81,-0.52,0.46
2.67,1.03,0.19,-0.72
0.00,0.41,-0.54,1.41
-1.39,-0.24,0.40,2.25
-0.41,-1.66,0.17,-0.54
0.61,0.04,0.41,1.17
-0.64,-1.44,-0.13,0.06
2.35,-0.31,0.26,-0.55
0.00,0.30,-0.09,-1.45
5.35,-0.07,0.04,-0.58
4.46,#N/A,0.57,-0.88
1.59,#N/A,0.45,-1.04
-4.63,#N/A,-1.01,-0.08
2.97,1.09,0.36,-0.04
-5.54,-0.94,0.03,0.29
1.26,0.22,-0.35,0.25
-3.58,0.79,-0.36,-0.49
-6.38,-2.37,0.56,-0.27
-6.61,-1.22,0.39,0.86
3.28,0.17,-0.24,0.25
-1.54,0.01,0.45,0.05
12.55,-0.40,-0.12,-0.58
3.28,-1.39,-0.62,-0.10
1.12,-0.16,0.34,-0.60
-1.74,0.48,0.20,1.04
-7.47,1.99,-0.39,0.53
-4.78,0.07,0.01,0.23
6.42,0.23,-0.61,-1.47
-10.79,#N/A,0.16,0.66
-3.46,#N/A,0.04,-0.11
-1.13,-0.20,-0.54,0.38
9.51,-0.52,-0.17,-0.24
-1.81,0.79,0.71,0.13
-8.03,0.43,-0.07,0.39
4.19,0.02,-0.61,-0.51
0.35,-0.47,0.25,0.01
-10.22,-0.17,0.07,-0.81
3.62,0.16,0.60,0.82
-10.92,0.33,0.80,-0.04
-0.44,0.29,-0.06,-2.57
-11.65,0.03,-0.41,2.16
9.34,0.65,-0.65,-0.03
-4.89,0.04,-0.01,-0.22
0.83,-0.63,0.34,-0.86
-5.73,-0.41,0.21,1.53
-4.05,1.19,-0.86,-1.02
-6.34,1.15,0.76,-1.84
-0.54,-0.76,-0.26,0.26
10.88,0.55,0.54,-0.10
3.20,-0.94,0.41,-0.77
7.62,-0.24,-0.40,-0.40
-3.68,#N/A,0.60,-0.40
4.27,#N/A,0.15,0.57
-0.50,-0.12,#N/A,0.41
