,date net balance,raw net balance,net balance,date S&P 500,raw S&P 500,S&P 500,date BofA AAA bond,raw BofA AAA bond,BofA AAA bond,date BTC-USD,raw BTC-USD,BTC-USD,date MSCI REIT,raw MSCI REIT,MSCI REIT
1,2015-01-12,33421.16953,1000,2015-01-12,2028.26,1000,2015-01-12,581.810,1000,2015-01-12,267.79599,1000,2015-01-12,"1,531.75",1000
2,2015-01-12,33742.00286,1009.599704,2015-01-13,2023.03,997.4214351,2015-01-13,582.320,1000.876575,2015-01-13,225.860992,843.4069233,2015-01-13,"1,501.75",980.4145585
3,2015-01-12,33242.00286,994.6391266,2015-01-14,2011.27,991.6233619,2015-01-14,584.060,1003.867242,2015-01-14,178.102997,665.0696935,2015-01-14,"1,523.86",994.8490289
4,2015-01-12,33242.00286,994.6391266,2015-01-15,1992.67,982.45294,2015-01-15,585.810,1006.875097,2015-01-15,209.843994,783.5964758,2015-01-15,"1,537.79",1003.943202
5,2015-01-12,33242.00286,994.6391266,2015-01-16,2019.42,995.6415844,2015-01-16,#N/A,#N/A,2015-01-16,208.097,777.0728755,2015-01-16,"1,491.91",973.9905337
6,2015-01-12,33242.00286,994.6391266,2015-01-19,#N/A,#N/A,2015-01-19,583.600,1003.076606,2015-01-17,199.259995,744.0738564,2015-01-20,"1,476.35",963.8322181
7,2015-01-13,33883.66953,1013.838534,2015-01-20,2022.55,997.1847791,2015-01-20,585.180,1005.792269,2015-01-18,210.339005,785.4449389,2015-01-21,"1,458.91",952.4465481
8,2015-01-13,33883.66953,1013.838534,2015-01-21,2032.12,1001.903109,2015-01-21,583.480,1002.870353,2015-01-19,214.860992,802.3308788,2015-01-22,"1,450.24",946.7863555
9,2015-01-13,33883.66953,1013.838534,2015-01-22,2063.15,1017.201937,2015-01-22,582.080,1000.464069,2015-01-20,211.315002,789.0894931,2015-01-23,"1,465.61",956.82063
10,2015-01-13,33883.66953,1013.838534,2015-01-23,2051.82,1011.615868,2015-01-23,585.960,1007.132913,2015-01-21,226.897003,847.2755809,2015-01-26,"1,459.78",953.0145259
11,2015-01-13,34073.02651,1019.504314,2015-01-26,2057.09,1014.214154,2015-01-26,585.560,1006.445403,2015-01-22,233.406006,871.5814079,2015-01-27,"1,469.13",959.1186551
12,2015-01-13,33823.02651,1012.024025,2015-01-27,2029.55,1000.636013,2015-01-27,585.610,1006.531342,2015-01-23,232.878998,869.6134621,2015-01-28,"1,463.55",955.475763
13,2015-01-13,33823.02651,1012.024025,2015-01-28,2002.16,987.1318273,2015-01-28,590.040,1014.145511,2015-01-24,247.847,925.5067636,2015-01-29,"1,446.14",944.1096785
14,2015-01-13,33823.02651,1012.024025,2015-01-29,2021.25,996.5438356,2015-01-29,589.100,1012.529864,2015-01-25,253.718002,947.4301762,2015-01-30,"1,431.61",934.6237963
15,2015-01-13,33573.02651,1004.543737,2015-01-30,1994.99,983.5967775,2015-01-30,592.720,1018.751826,2015-01-26,273.472992,1021.198981,2015-02-02,"1,421.27",927.8733475
16,2015-01-13,33573.02651,1004.543737,2015-02-02,2020.85,996.3466222,2015-01-31,592.720,1018.751826,2015-01-27,263.475006,983.8646426,2015-02-03,"1,434.93",936.7912518
17,2015-01-13,33573.02651,1004.543737,2015-02-03,2050.03,1010.733338,2015-02-02,592.880,1019.02683,2015-01-28,233.914993,873.48206,2015-02-04,"1,449.05",946.0094663
18,2015-01-13,33573.02651,1004.543737,2015-02-04,2041.51,1006.532693,2015-02-03,587.420,1009.642323,2015-01-29,233.513,871.9809434,2015-02-05,"1,445.92",943.9660519
19,2015-01-13,33073.02651,989.583159,2015-02-05,2062.52,1016.891326,2015-02-04,586.890,1008.731373,2015-01-30,226.425003,845.5130452,2015-02-06,"1,425.85",930.8633915
20,2015-01-13,33073.02651,989.583159,2015-02-06,2055.47,1013.41544,2015-02-05,585.890,1007.012599,2015-01-31,217.464005,812.0510132,2015-02-09,"1,429.24",933.0765464
21,2015-01-13,33073.02651,989.583159,2015-02-09,2046.74,1009.111258,2015-02-06,581.080,998.7452949,2015-02-01,226.972,847.5556337,2015-02-10,"1,457.86",951.7610576
22,2015-01-13,33275.43823,995.6395513,2015-02-10,2068.59,1019.884039,2015-02-09,580.950,998.5218542,2015-02-02,238.229004,889.5913789,2015-02-11,"1,447.93",945.2782765
23,2015-01-13,33025.43823,988.1592625,2015-02-11,2068.53,1019.854457,2015-02-10,578.000,993.4514704,2015-02-03,227.268005,848.6609714,2015-02-12,"1,435.48",937.1503183
24,2015-01-13,33025.43823,988.1592625,2015-02-12,2088.48,1029.690474,2015-02-11,578.390,994.1217923,2015-02-04,226.852997,847.1112544,2015-02-13,"1,407.97",919.1904684
25,2015-01-13,33213.17769,993.7766442,2015-02-13,2096.99,1033.886188,2015-02-12,578.670,994.6030491,2015-02-05,217.110992,810.732797,2015-02-17,"1,417.87",925.6536641
26,2015-01-13,33213.17769,993.7766442,2015-02-16,#N/A,#N/A,2015-02-13,576.480,990.8389337,2015-02-06,222.266006,829.9825774,2015-02-18,"1,441.72",941.2240901
27,2015-01-14,33213.17769,993.7766442,2015-02-17,2100.34,1035.53785,2015-02-16,576.640,991.1139375,2015-02-07,227.753998,850.4757596,2015-02-19,"1,404.48",916.9120287
28,2015-01-14,32963.17769,986.2963554,2015-02-18,2099.68,1035.212448,2015-02-17,571.730,982.6747564,2015-02-08,223.412003,834.2619432,2015-02-20,"1,384.27",903.7179696
29,2015-01-14,32713.17769,978.8160666,2015-02-19,2097.45,1034.112984,2015-02-18,574.960,988.2263969,2015-02-09,220.110001,821.931654,2015-02-23,"1,404.10",916.6639465
30,2015-01-14,32713.17769,978.8160666,2015-02-20,2110.30,1040.448463,2015-02-19,573.020,984.891975,2015-02-10,219.839005,820.9197046,2015-02-24,"1,411.50",921.495022
31,2015-01-14,32463.17769,971.3357778,2015-02-23,2109.66,1040.132922,2015-02-20,572.410,983.8435228,2015-02-11,219.184998,818.4775209,2015-02-25,"1,420.27",927.2204994
32,2015-01-14,32463.17769,971.3357778,2015-02-24,2115.48,1043.002376,2015-02-23,576.240,990.4264279,2015-02-12,221.764008,828.1080236,2015-02-26,"1,430.59",933.9578913
33,2015-01-14,32463.17769,971.3357778,2015-02-25,2113.86,1042.203662,2015-02-24,579.340,995.7546278,2015-02-13,235.427002,879.1281826,2015-02-27,"1,421.73",928.1736576
34,2015-01-14,32463.17769,971.3357778,2015-02-26,2110.74,1040.665398,2015-02-25,580.400,997.5765284,2015-02-14,257.321014,960.8844927,2015-03-02,"1,410.27",920.6920189
35,2015-01-15,32463.17769,971.3357778,2015-02-27,2104.50,1037.588869,2015-02-26,578.530,994.3624207,2015-02-15,234.824997,876.8801841,2015-03-03,"1,424.13",929.7404929
36,2015-01-15,32801.71936,981.4653355,2015-03-02,2117.39,1043.94407,2015-02-27,578.940,995.0671181,2015-02-16,233.843002,873.2132322,2015-03-04,"1,432.73",935.3549861
37,2015-01-15,32801.71936,981.4653355,2015-03-03,2107.78,1039.206019,2015-02-28,579.090,995.3249343,2015-02-17,243.610001,909.6850218,2015-03-05,"1,467.99",958.3744084
38,2015-01-15,32801.71936,981.4653355,2015-03-04,2098.53,1034.64546,2015-03-02,575.210,988.6560905,2015-02-18,236.326004,882.4852232,2015-03-06,"1,433.15",935.6291823
39,2015-01-15,32801.71936,981.4653355,2015-03-05,2101.04,1035.882974,2015-03-03,573.760,986.1638679,2015-02-19,240.283005,897.2614004,2015-03-09,"1,441.99",941.4003591
40,2015-01-15,32801.71936,981.4653355,2015-03-06,2071.26,1021.200438,2015-03-04,573.820,986.2669944,2015-02-20,243.779007,910.3161216,2015-03-10,"1,445.78",943.8746532
41,2015-01-15,32801.71936,981.4653355,2015-03-09,2079.43,1025.228521,2015-03-05,574.780,987.9170176,2015-02-21,244.533997,913.1353946,2015-03-11,"1,460.95",953.7783581
42,2015-01-15,32801.71936,981.4653355,2015-03-10,2044.16,1007.839232,2015-03-06,569.260,978.4293842,2015-02-22,235.977005,881.181996,2015-03-12,"1,478.81",965.4382243
43,2015-01-15,32801.71936,981.4653355,2015-03-11,2040.24,1005.906541,2015-03-09,571.450,982.1934996,2015-02-23,238.891998,892.0671217,2015-03-13,"1,458.17",951.9634405
44,2015-01-15,32551.71936,973.9850467,2015-03-12,2065.95,1018.58243,2015-03-10,574.560,987.5388873,2015-02-24,238.735001,891.4808657,2015-03-16,"1,466.44",957.3624939
45,2015-01-15,32551.71936,973.9850467,2015-03-13,2053.40,1012.394861,2015-03-11,575.670,989.4467266,2015-02-25,237.470001,886.7571206,2015-03-17,"1,449.57",946.3489473
46,2015-01-15,33010.05269,987.6989095,2015-03-16,2081.19,1026.09626,2015-03-12,575.620,989.3607879,2015-02-26,236.425995,882.8586082,2015-03-18,"1,408.22",919.3536804
47,2015-01-15,33821.41633,1011.975847,2015-03-17,2074.28,1022.689399,2015-03-13,574.450,987.3498221,2015-02-27,253.828003,947.8409404,2015-03-19,"1,429.77",933.4225559
