,good_date,Net Balance NO VIG,Net Balance WITH VIG
0,2007-09-29,1000.0,1000.0
1,2007-09-29,1000.0,1000.0
2,2007-09-30,1000.0,1000.0
3,2007-09-30,1000.0,1000.0
4,2007-10-03,1000.0,1000.0
5,2007-10-03,1000.0,1000.0
6,2007-10-03,1000.0,1000.0
7,2007-10-03,1000.0,1000.0
8,2007-10-03,1000.0,1000.0
9,2007-10-03,1000.0,1000.0
10,2007-10-03,1000.0,1000.0
11,2007-10-03,1000.0,1000.0
12,2007-10-04,1000.0,1000.0
13,2007-10-04,1000.0,1000.0
14,2007-10-04,1000.0,1000.0
15,2007-10-04,1000.0,1000.0
16,2007-10-04,1000.0,1000.0
17,2007-10-04,1000.0,1000.0
18,2007-10-04,1000.0,1000.0
19,2007-10-04,1000.0,1000.0
20,2007-10-04,1000.0,1000.0
21,2007-10-04,1000.0,1000.0
22,2007-10-04,1000.0,1000.0
23,2007-10-04,1000.0,1000.0
24,2007-10-04,1000.0,1000.0
25,2007-10-04,1000.0,1000.0
26,2007-10-04,1000.0,1000.0
27,2007-10-04,1000.0,1000.0
28,2007-10-05,1000.0,1000.0
29,2007-10-05,1000.0,1000.0
30,2007-10-05,1000.0,1000.0
31,2007-10-05,1000.0,1000.0
32,2007-10-05,1000.0,1000.0
33,2007-10-05,1000.0,1000.0
34,2007-10-05,1000.0,1000.0
35,2007-10-05,1000.0,1000.0
36,2007-10-05,1000.0,1000.0
37,2007-10-05,1000.0,1000.0
38,2007-10-05,1000.0,1000.0
39,2007-10-05,1000.0,1000.0
40,2007-10-06,1000.0,1000.0
41,2007-10-06,1000.0,1000.0
42,2007-10-06,1000.0,1000.0
43,2007-10-06,1000.0,1000.0
44,2007-10-06,1000.0,1000.0
45,2007-10-06,1000.0,1000.0
46,2007-10-06,1000.0,1000.0
47,2007-10-06,1000.0,1000.0
48,2007-10-06,1000.0,1000.0
49,2007-10-06,1000.0,1000.0
50,2007-10-06,1000.0,1000.0
51,2007-10-06,1000.0,1000.0
52,2007-10-06,1000.0,1000.0
53,2007-10-06,1000.0,1000.0
54,2007-10-06,1000.0,1000.0
55,2007-10-06,1000.0,1000.0
56,2007-10-06,1000.0,1000.0
57,2007-10-06,1000.0,1000.0
58,2007-10-06,1000.0,1000.0
59,2007-10-06,1000.0,1000.0
60,2007-10-06,1000.0,1000.0
61,2007-10-06,1000.0,1000.0
62,2007-10-06,1000.0,1000.0
63,2007-10-06,1000.0,1000.0
64,2007-10-06,1000.0,1000.0
65,2007-10-06,1000.0,1000.0
66,2007-10-06,1000.0,1000.0
67,2007-10-06,1000.0,1000.0
68,2007-10-07,1000.0,1000.0
69,2007-10-07,1000.0,1000.0
70,2007-10-08,1000.0,1000.0
71,2007-10-08,1000.0,1000.0
72,2007-10-08,1000.0,1000.0
73,2007-10-08,1000.0,1000.0
74,2007-10-08,1000.0,1000.0
75,2007-10-08,1000.0,1000.0
76,2007-10-09,1000.0,1000.0
77,2007-10-09,1000.0,1000.0
78,2007-10-10,1000.0,1000.0
79,2007-10-10,1000.0,1000.0
80,2007-10-10,1000.0,1000.0
81,2007-10-10,1000.0,1000.0
82,2007-10-10,1000.0,1000.0
83,2007-10-10,1000.0,1000.0
84,2007-10-10,1000.0,1000.0
85,2007-10-10,1000.0,1000.0
86,2007-10-10,1000.0,1000.0
87,2007-10-10,1000.0,1000.0
88,2007-10-10,1000.0,1000.0
89,2007-10-10,1000.0,1000.0
90,2007-10-10,1000.0,1000.0
91,2007-10-10,1000.0,1000.0
92,2007-10-10,1000.0,1000.0
93,2007-10-10,1000.0,1000.0
94,2007-10-10,1000.0,1000.0
95,2007-10-10,1000.0,1000.0
96,2007-10-10,1000.0,1000.0
97,2007-10-10,1000.0,1000.0
98,2007-10-10,1000.0,1000.0
99,2007-10-10,1000.0,1000.0
100,2007-10-10,1000.0,1000.0
101,2007-10-10,1000.0,1000.0
102,2007-10-11,1000.0,1000.0
103,2007-10-11,1000.0,1000.0
104,2007-10-11,1000.0,1000.0
105,2007-10-11,1000.0,1000.0
106,2007-10-11,1000.0,1000.0
107,2007-10-11,1000.0,1000.0
108,2007-10-11,1000.0,1000.0
109,2007-10-11,1000.0,1000.0
110,2007-10-11,1000.0,1000.0
111,2007-10-11,1000.0,1000.0
112,2007-10-12,1000.0,1000.0
113,2007-10-12,1000.0,1000.0
114,2007-10-12,1000.0,1000.0
115,2007-10-12,1000.0,1000.0
116,2007-10-12,1000.0,1000.0
117,2007-10-12,1000.0,1000.0
118,2007-10-12,1000.0,1000.0
119,2007-10-12,1000.0,1000.0
120,2007-10-12,1000.0,1000.0
121,2007-10-12,1000.0,1000.0
122,2007-10-12,1000.0,1000.0
123,2007-10-12,1000.0,1000.0
124,2007-10-13,1000.0,1000.0
125,2007-10-13,1000.0,1000.0
126,2007-10-13,1000.0,1000.0
127,2007-10-13,1000.0,1000.0
128,2007-10-13,1000.0,1000.0
129,2007-10-13,1000.0,1000.0
130,2007-10-13,1000.0,1000.0
131,2007-10-13,1000.0,1000.0
132,2007-10-13,1000.0,1000.0
133,2007-10-13,1000.0,1000.0
134,2007-10-13,1000.0,1000.0
135,2007-10-13,1000.0,1000.0
136,2007-10-13,1000.0,1000.0
137,2007-10-13,1000.0,1000.0
138,2007-10-13,1000.0,1000.0
139,2007-10-13,1000.0,1000.0
140,2007-10-13,1000.0,1000.0
141,2007-10-13,1000.0,1000.0
142,2007-10-13,1000.0,1000.0
143,2007-10-13,1000.0,1000.0
144,2007-10-13,1000.0,1000.0
145,2007-10-13,1000.0,1000.0
146,2007-10-13,1000.0,1000.0
147,2007-10-13,1000.0,1000.0
148,2007-10-13,1000.0,1000.0
149,2007-10-13,1000.0,1000.0
150,2007-10-14,1000.0,1000.0
151,2007-10-14,1000.0,1000.0
152,2007-10-14,1000.0,1000.0
153,2007-10-14,1000.0,1000.0
154,2007-10-15,1000.0,1000.0
155,2007-10-15,1000.0,1000.0
156,2007-10-15,1000.0,1000.0
157,2007-10-15,1000.0,1000.0
158,2007-10-15,1000.0,1000.0
159,2007-10-15,1000.0,1000.0
160,2007-10-16,1000.0,1000.0
161,2007-10-16,1000.0,1000.0
162,2007-10-16,1000.0,1000.0
163,2007-10-16,1000.0,1000.0
164,2007-10-16,1000.0,1000.0
165,2007-10-16,1000.0,1000.0
166,2007-10-16,1000.0,1000.0
167,2007-10-16,1000.0,1000.0
168,2007-10-17,1000.0,1000.0
169,2007-10-17,1000.0,1000.0
170,2007-10-17,1000.0,1000.0
171,2007-10-17,1000.0,1000.0
172,2007-10-17,1000.0,1000.0
173,2007-10-17,1000.0,1000.0
174,2007-10-17,1000.0,1000.0
175,2007-10-17,1000.0,1000.0
176,2007-10-18,1000.0,1000.0
177,2007-10-18,1000.0,1000.0
178,2007-10-18,1000.0,1000.0
179,2007-10-18,1000.0,1000.0
180,2007-10-18,1000.0,1000.0
181,2007-10-18,1000.0,1000.0
182,2007-10-18,1000.0,1000.0
183,2007-10-18,1000.0,1000.0
184,2007-10-18,1000.0,1000.0
185,2007-10-18,1000.0,1000.0
186,2007-10-18,1000.0,1000.0
187,2007-10-18,1000.0,1000.0
188,2007-10-18,1000.0,1000.0
189,2007-10-18,1000.0,1000.0
190,2007-10-18,1000.0,1000.0
191,2007-10-18,1000.0,1000.0
192,2007-10-18,1000.0,1000.0
193,2007-10-18,1000.0,1000.0
194,2007-10-19,1000.0,1000.0
195,2007-10-19,1000.0,1000.0
196,2007-10-19,1000.0,1000.0
197,2007-10-19,1000.0,1000.0
198,2007-10-19,1000.0,1000.0
199,2007-10-19,1000.0,1000.0
200,2007-10-19,1000.0,1000.0
201,2007-10-19,1000.0,1000.0
202,2007-10-20,1000.0,1000.0
203,2007-10-20,1000.0,1000.0
204,2007-10-20,1000.0,1000.0
205,2007-10-20,1000.0,1000.0
206,2007-10-20,1000.0,1000.0
207,2007-10-20,1000.0,1000.0
208,2007-10-20,1000.0,1000.0
209,2007-10-20,1000.0,1000.0
210,2007-10-20,1000.0,1000.0
211,2007-10-20,1000.0,1000.0
212,2007-10-20,1000.0,1000.0
213,2007-10-20,1000.0,1000.0
214,2007-10-20,1000.0,1000.0
215,2007-10-20,1000.0,1000.0
216,2007-10-20,1000.0,1000.0
217,2007-10-20,1000.0,1000.0
218,2007-10-20,1000.0,1000.0
219,2007-10-20,1000.0,1000.0
220,2007-10-20,1000.0,1000.0
221,2007-10-20,1000.0,1000.0
222,2007-10-20,1000.0,1000.0
223,2007-10-20,1000.0,1000.0
224,2007-10-20,1000.0,1000.0
225,2007-10-20,1000.0,1000.0
226,2007-10-20,1000.0,1000.0
227,2007-10-20,1000.0,1000.0
228,2007-10-21,1000.0,1000.0
229,2007-10-21,1000.0,1000.0
230,2007-10-21,1000.0,1000.0
231,2007-10-21,1000.0,1000.0
232,2007-10-22,500.0,500.0
233,2007-10-22,500.0,500.0
234,2007-10-22,500.0,500.0
235,2007-10-22,500.0,500.0
236,2007-10-22,500.0,500.0
237,2007-10-22,500.0,500.0
238,2007-10-23,500.0,500.0
239,2007-10-23,500.0,500.0
240,2007-10-23,917.8571428571429,900.0
241,2007-10-23,917.8571428571429,900.0
242,2007-10-23,917.8571428571429,900.0
243,2007-10-23,917.8571428571429,900.0
244,2007-10-23,917.8571428571429,900.0
245,2007-10-23,917.8571428571429,900.0
246,2007-10-23,917.8571428571429,900.0
247,2007-10-23,667.8571428571429,650.0
248,2007-10-23,667.8571428571429,650.0
249,2007-10-23,667.8571428571429,650.0
250,2007-10-24,667.8571428571429,650.0
251,2007-10-24,667.8571428571429,650.0
252,2007-10-24,667.8571428571429,650.0
253,2007-10-24,667.8571428571429,650.0
254,2007-10-24,667.8571428571429,650.0
255,2007-10-24,667.8571428571429,650.0
256,2007-10-24,167.8571428571429,150.0
257,2007-10-24,167.8571428571429,150.0
258,2007-10-24,167.8571428571429,150.0
259,2007-10-24,543.3360700602079,494.82758620689657
260,2007-10-25,543.3360700602079,494.82758620689657
261,2007-10-25,543.3360700602079,494.82758620689657
262,2007-10-25,543.3360700602079,494.82758620689657
263,2007-10-25,543.3360700602079,494.82758620689657
264,2007-10-25,543.3360700602079,494.82758620689657
265,2007-10-25,543.3360700602079,494.82758620689657
266,2007-10-25,543.3360700602079,494.82758620689657
267,2007-10-25,543.3360700602079,494.82758620689657
268,2007-10-25,543.3360700602079,494.82758620689657
269,2007-10-25,543.3360700602079,494.82758620689657
270,2007-10-25,293.33607006020793,244.82758620689657
271,2007-10-25,293.33607006020793,244.82758620689657
272,2007-10-25,293.33607006020793,244.82758620689657
273,2007-10-25,626.2442333255141,557.3275862068965
274,2007-10-25,626.2442333255141,557.3275862068965
275,2007-10-25,626.2442333255141,557.3275862068965
276,2007-10-25,626.2442333255141,557.3275862068965
277,2007-10-25,935.020829070195,844.8275862068965
278,2007-10-26,935.020829070195,844.8275862068965
279,2007-10-26,935.020829070195,844.8275862068965
280,2007-10-26,1722.0578661072318,1594.8275862068965
281,2007-10-26,1722.0578661072318,1594.8275862068965
282,2007-10-26,1722.0578661072318,1594.8275862068965
283,2007-10-26,1722.0578661072318,1594.8275862068965
284,2007-10-26,1222.0578661072318,1094.8275862068965
285,2007-10-26,1222.0578661072318,1094.8275862068965
286,2007-10-26,1222.0578661072318,1094.8275862068965
287,2007-10-26,1222.0578661072318,1094.8275862068965
288,2007-10-27,722.0578661072318,594.8275862068965
289,2007-10-27,722.0578661072318,594.8275862068965
290,2007-10-27,722.0578661072318,594.8275862068965
291,2007-10-27,472.0578661072318,344.8275862068965
292,2007-10-27,472.0578661072318,344.8275862068965
293,2007-10-27,-27.942133892768197,-155.1724137931035
294,2007-10-27,-27.942133892768197,-155.1724137931035
295,2007-10-27,-27.942133892768197,-155.1724137931035
296,2007-10-27,-27.942133892768197,-155.1724137931035
297,2007-10-27,-277.9421338927682,-405.1724137931035
298,2007-10-27,-277.9421338927682,-405.1724137931035
