net balance,S&P 500,SP,BofA AAA US ,BofA,MCSI REIT Index,MCSI
,1419.04,,400.47,,1531.75,
0,1413.38,-0.3988612019,402.15,0.4195070792,1501.75,-1.958544149
0,1398.96,-1.020249331,402.21,0.01491980604,1523.86,1.472282337
0,1398.08,-0.06290387145,402.96,0.1864697546,1537.79,0.9141259696
0,#N/A,#N/A,402.02,-0.2332737741,1491.91,-2.983502299
0,1382.2,#N/A,402.08,0.01492463062,1476.35,-1.042958355
0,1358.59,-1.708146433,400.15,-0.4800039793,1458.91,-1.181291699
0,1368.71,0.7448899226,399.31,-0.2099212795,1450.24,-0.5942792907
0,1387.57,1.377939812,400.22,0.2278931156,1465.61,1.059824581
0,1370.26,-1.24750463,402.47,0.5621907951,1459.78,-0.3977865872
0,1369.57,-0.050355407,401.73,-0.1838646359,1469.13,0.6405074737
0,1390.78,1.548661259,400.94,-0.196649491,1463.55,-0.3798166262
0,1385.14,-0.4055278333,401.22,0.06983588567,1446.14,-1.189573298
0,1376.92,-0.5934418182,402.76,0.3838293206,1431.61,-1.004743662
0,1378.53,0.1169276356,401.9,-0.213526666,1421.27,-0.722263745
0,1366.94,-0.8407506547,403.2,0.3234635481,1434.93,0.9611122447
0,1371.97,0.3679751855,402.84,-0.08928571429,1449.05,0.9840201264
0,1390.69,1.364461322,403.95,0.2755436402,1445.92,-0.2160035886
0,1399.98,0.6680137198,403.92,-0.007426661716,1425.85,-1.388043599
0,1403.36,0.2414320205,404.4,0.118835413,1429.24,0.2377529193
0,1397.91,-0.3883536655,405.1,0.1730959446,1457.86,2.002462847
-50,1405.82,0.5658447253,407.43,0.5751666255,1447.93,-0.6811353628
0,1402.31,-0.2496763455,406.49,-0.2307144786,1435.48,-0.8598481971
33.57142857,1391.57,-0.7658791565,406.27,-0.05412187262,1407.97,-1.916432134
-18.64486652,1369.1,-1.614722939,406.99,0.1772220445,1417.87,0.7031399817
72.08885634,1369.58,0.03505952816,407.23,0.05896950785,1441.72,1.682100616
-22.77628009,1363.72,-0.4278683976,407.18,-0.01227807382,1404.48,-2.58302583
-158.718357,1354.58,-0.6702255595,407.91,0.1792818901,1384.27,-1.438966735
-117.9299476,1357.99,0.2517385463,407.33,-0.1421882278,1404.1,1.432524002
64.86226525,1353.39,-0.3387359259,407.05,-0.06874033339,1411.5,0.5270279895
406.0018074,1338.35,-1.111283518,404.79,-0.5552143471,1420.27,0.6213248317
172.4235627,1330.66,-0.5745881122,406.14,0.3335062625,1430.59,0.7266224028
14.30954674,1324.8,-0.4403829679,406.54,0.09848820604,1421.73,-0.6193248939
36.04426927,1304.86,-1.50513285,406.78,0.05903478133,1410.27,-0.8060602224
19.32069758,1295.22,-0.7387765737,407.62,0.2064998279,1424.13,0.9827905295
-9.95603082,1315.99,1.60358858,408.2,0.1422893872,1432.73,0.603877455
-12.91846797,1316.63,0.04863258839,410.21,0.4924056835,1467.99,2.461035924
9.676792341,1318.86,0.1693718053,408.72,-0.3632285902,1433.15,-2.37331317
25.22467008,1320.68,0.1379979679,409.81,0.26668624,1441.99,0.616823082
-0.7285944946,1317.82,-0.216555108,410.83,0.2488958298,1445.78,0.2628312263
9.3479995,#N/A,#N/A,409.94,-0.2166346177,1460.95,1.049260607
-10.16117508,1332.42,#N/A,409.94,0,1478.81,1.222492214
2.951683035,1313.32,-1.433481935,409.46,-0.1170903059,1458.17,-1.395716826
-12.59187358,1310.33,-0.227667286,410.44,0.239339618,1466.44,0.567149235
6.334196479,1278.04,-2.464264727,412.02,0.3849527337,1449.57,-1.150405063
-6.599943968,1278.18,0.01095427373,411.44,-0.1407698655,1408.22,-2.852570073
-27.62629818,1285.5,0.5726892926,412.32,0.2138829477,1429.77,1.530300663
19.23312488,1315.13,2.304939712,411.81,-0.1236903376,1447.99,1.274330836
48.78236499,1314.99,-0.01064533544,411.94,0.0315679561,1451.19,0.2209960014
-8.261659756,1325.66,0.8114130145,411.73,-0.05097829781,1454.4,0.2211977756
14.06463299,1308.93,-1.262012884,413.75,0.4906127802,1457.84,0.2365236524
12.7594548,1324.18,1.165073763,412.31,-0.3480362538,1477.74,1.3650332
18.41029909,1314.88,-0.7023214367,415.04,0.6621231598,1499.31,1.459661375
-2.956602762,1329.1,1.08146751,415.84,0.1927525058,1513.51,0.9471023337
